Hour,Day_of_Week,Month,Weather_Condition,Precipitation,Special_Event,Temperature_C,Parking_Duration_Min,Parking_Zone_ID,Available_Binary
14,2,7,Sunny,0,1,18.2,41,Zone_D_Residential,Available
20,2,7,Sunny,0,0,17.3,36,Zone_B_University,Available
23,6,7,Sunny,0,0,15.9,242,Zone_A_Downtown,Available
12,6,11,Overcast,0,0,2.0,218,Zone_D_Residential,Available
8,4,7,Cloudy,0,0,13.6,279,Zone_A_Downtown,Unavailable
14,4,3,Overcast,0,0,11.1,68,Zone_C_Shopping,Available
12,0,12,Sunny,0,0,3.3,113,Zone_A_Downtown,Available
0,2,3,Cloudy,0,0,5.8,97,Zone_C_Shopping,Available
6,3,7,Light Rain,1,0,19.2,234,Zone_C_Shopping,Available
8,2,2,Heavy Rain,1,0,4.0,22,Zone_A_Downtown,Unavailable
23,2,2,Sunny,0,0,4.9,126,Zone_B_University,Available
0,4,3,Cloudy,0,0,15.6,267,Zone_C_Shopping,Available
11,2,4,Heavy Rain,1,0,18.8,238,Zone_D_Residential,Available
7,5,6,Light Rain,1,0,13.7,227,Zone_E_Airport,Available
23,2,8,Heavy Rain,1,0,10.2,152,Zone_C_Shopping,Available
10,5,10,Sunny,0,0,2.8,158,Zone_D_Residential,Available
18,6,10,Cloudy,0,0,10.8,25,Zone_B_University,Unavailable
16,3,7,Heavy Rain,1,1,15.1,33,Zone_B_University,Available
7,4,4,Heavy Rain,1,0,9.6,66,Zone_A_Downtown,Available
2,2,2,Sunny,0,0,9.7,219,Zone_C_Shopping,Available
2,5,2,Heavy Rain,1,0,7.8,157,Zone_B_University,Available
0,5,4,Light Rain,1,0,20.8,56,Zone_A_Downtown,Available
4,6,6,Cloudy,0,0,19.8,110,Zone_C_Shopping,Available
9,5,3,Overcast,0,0,9.9,180,Zone_D_Residential,Available
6,1,6,Sunny,0,0,18.8,100,Zone_B_University,Available
8,0,5,Sunny,0,0,15.6,98,Zone_A_Downtown,Unavailable
6,3,5,Light Rain,1,0,20.8,213,Zone_B_University,Available
8,6,2,Sunny,0,0,10.1,164,Zone_B_University,Unavailable
7,6,8,Light Rain,1,1,9.3,64,Zone_C_Shopping,Available
11,2,5,Heavy Rain,1,0,19.8,138,Zone_B_University,Available
1,1,11,Overcast,0,0,-0.1,33,Zone_C_Shopping,Available
0,2,2,Sunny,0,0,13.2,86,Zone_E_Airport,Available
15,2,7,Overcast,0,0,21.5,160,Zone_A_Downtown,Available
22,4,9,Cloudy,0,0,6.6,280,Zone_E_Airport,Available
22,4,9,Overcast,0,0,10.7,64,Zone_B_University,Available
23,4,1,Cloudy,0,0,6.1,63,Zone_B_University,Available
4,1,7,Cloudy,0,0,15.1,113,Zone_B_University,Available
2,2,9,Cloudy,0,0,5.9,37,Zone_A_Downtown,Unavailable
11,0,6,Cloudy,0,0,18.3,90,Zone_A_Downtown,Available
7,3,1,Overcast,0,0,2.6,127,Zone_B_University,Unavailable
21,4,2,Light Rain,1,0,3.3,297,Zone_D_Residential,Available
2,4,4,Sunny,0,0,17.7,20,Zone_E_Airport,Available
0,6,4,Heavy Rain,1,0,10.1,294,Zone_C_Shopping,Available
2,2,2,Light Rain,1,0,5.7,100,Zone_A_Downtown,Unavailable
4,2,8,Light Rain,1,1,14.5,84,Zone_C_Shopping,Unavailable
14,1,2,Sunny,0,0,6.9,190,Zone_C_Shopping,Available
13,1,3,Light Rain,1,0,13.4,245,Zone_D_Residential,Available
2,4,4,Cloudy,0,0,13.3,101,Zone_D_Residential,Available
0,2,9,Overcast,0,0,2.2,122,Zone_E_Airport,Available
4,0,10,Heavy Rain,1,0,4.8,221,Zone_B_University,Available
22,3,1,Sunny,0,0,5.2,236,Zone_C_Shopping,Available
13,2,8,Light Rain,1,0,13.6,239,Zone_B_University,Available
6,6,12,Sunny,0,0,1.6,196,Zone_E_Airport,Available
8,2,5,Cloudy,0,0,18.5,161,Zone_A_Downtown,Unavailable
14,5,7,Sunny,0,0,18.9,215,Zone_A_Downtown,Available
14,1,8,Light Rain,1,0,8.6,85,Zone_A_Downtown,Unavailable
9,6,5,Overcast,0,0,16.9,38,Zone_D_Residential,Available
12,3,8,Light Rain,1,1,13.4,152,Zone_B_University,Available
18,4,10,Sunny,0,0,6.2,163,Zone_B_University,Unavailable
6,6,11,Cloudy,0,0,-2.8,78,Zone_E_Airport,Available
16,2,8,Sunny,0,0,18.0,155,Zone_E_Airport,Available
19,4,9,Sunny,0,0,10.0,256,Zone_B_University,Unavailable
3,2,2,Cloudy,0,0,7.3,261,Zone_A_Downtown,Available
4,4,3,Cloudy,0,0,15.3,85,Zone_D_Residential,Available
22,3,1,Overcast,0,1,4.4,262,Zone_E_Airport,Available
6,1,4,Heavy Rain,1,0,9.4,119,Zone_C_Shopping,Available
12,3,5,Cloudy,0,0,16.7,66,Zone_C_Shopping,Available
14,5,11,Sunny,0,0,5.1,272,Zone_B_University,Available
10,0,1,Sunny,0,0,3.2,133,Zone_D_Residential,Unavailable
3,1,8,Sunny,0,0,19.1,18,Zone_C_Shopping,Available
12,3,2,Overcast,0,0,3.4,66,Zone_C_Shopping,Available
6,5,1,Sunny,0,0,6.8,21,Zone_A_Downtown,Available
18,0,2,Sunny,0,0,8.5,15,Zone_E_Airport,Unavailable
21,5,5,Cloudy,0,0,17.2,200,Zone_C_Shopping,Available
1,2,9,Sunny,0,0,11.0,204,Zone_A_Downtown,Available
9,2,9,Overcast,0,0,7.1,128,Zone_C_Shopping,Unavailable
12,4,2,Sunny,0,0,5.1,208,Zone_C_Shopping,Available
20,1,2,Light Rain,1,0,7.7,69,Zone_C_Shopping,Available
5,2,3,Sunny,0,0,9.6,131,Zone_D_Residential,Available
11,6,7,Heavy Rain,1,0,17.1,283,Zone_C_Shopping,Available
11,5,11,Light Rain,1,0,6.0,298,Zone_E_Airport,Available
19,1,3,Cloudy,0,0,4.3,284,Zone_A_Downtown,Unavailable
10,6,1,Heavy Rain,1,0,4.2,286,Zone_A_Downtown,Unavailable
22,2,6,Sunny,0,0,23.3,112,Zone_A_Downtown,Available
6,4,3,Heavy Rain,1,0,8.9,183,Zone_C_Shopping,Available
0,3,1,Sunny,0,1,-0.7,171,Zone_C_Shopping,Available
0,4,4,Sunny,0,0,12.8,289,Zone_E_Airport,Available
19,6,1,Cloudy,0,1,-1.5,162,Zone_D_Residential,Available
12,0,1,Light Rain,1,0,3.7,291,Zone_C_Shopping,Available
8,2,12,Sunny,0,0,1.8,162,Zone_E_Airport,Unavailable
2,6,2,Heavy Rain,1,0,7.0,105,Zone_B_University,Available
6,0,10,Light Rain,1,0,5.6,58,Zone_D_Residential,Available
5,0,8,Cloudy,0,0,14.6,252,Zone_B_University,Available
7,5,2,Cloudy,0,1,7.4,128,Zone_C_Shopping,Available
8,1,11,Sunny,0,0,-0.5,103,Zone_D_Residential,Available
4,5,2,Sunny,0,0,7.0,16,Zone_C_Shopping,Available
0,2,11,Heavy Rain,1,0,7.4,185,Zone_A_Downtown,Available
18,0,11,Heavy Rain,1,0,0.2,102,Zone_B_University,Unavailable
9,6,10,Heavy Rain,1,0,6.9,239,Zone_C_Shopping,Unavailable
11,3,10,Light Rain,1,0,9.9,161,Zone_D_Residential,Available
23,0,8,Overcast,0,0,10.5,104,Zone_B_University,Available
14,6,12,Cloudy,0,1,4.4,183,Zone_E_Airport,Available
21,3,6,Light Rain,1,0,17.3,105,Zone_B_University,Unavailable
23,5,12,Light Rain,1,0,5.0,28,Zone_C_Shopping,Available
8,5,11,Sunny,0,0,0.6,162,Zone_D_Residential,Available
19,1,4,Sunny,0,0,14.0,71,Zone_C_Shopping,Unavailable
16,6,3,Heavy Rain,1,0,5.4,16,Zone_E_Airport,Available
16,0,1,Sunny,0,0,4.4,80,Zone_C_Shopping,Available
19,4,11,Cloudy,0,0,4.4,101,Zone_C_Shopping,Unavailable
11,5,3,Cloudy,0,0,11.6,259,Zone_A_Downtown,Available
6,5,12,Light Rain,1,0,3.5,251,Zone_B_University,Available
1,1,9,Heavy Rain,1,0,9.7,103,Zone_B_University,Available
2,3,5,Light Rain,1,1,12.5,66,Zone_D_Residential,Available
16,1,6,Sunny,0,0,21.0,217,Zone_A_Downtown,Available
4,0,5,Cloudy,0,0,16.8,223,Zone_A_Downtown,Available
16,6,1,Cloudy,0,0,4.3,157,Zone_A_Downtown,Available
23,2,10,Light Rain,1,0,5.4,129,Zone_A_Downtown,Available
16,2,1,Sunny,0,0,8.9,76,Zone_B_University,Available
16,6,4,Sunny,0,0,12.3,48,Zone_E_Airport,Available
1,3,3,Light Rain,1,0,8.2,135,Zone_D_Residential,Available
1,5,11,Overcast,0,0,-1.6,118,Zone_D_Residential,Available
21,3,8,Light Rain,1,0,14.3,58,Zone_D_Residential,Available
22,5,12,Overcast,0,0,7.6,205,Zone_B_University,Available
4,5,12,Overcast,0,0,2.4,261,Zone_E_Airport,Available
0,2,7,Sunny,0,0,17.6,32,Zone_A_Downtown,Available
0,3,11,Heavy Rain,1,0,6.0,122,Zone_B_University,Unavailable
18,1,7,Light Rain,1,0,17.4,40,Zone_C_Shopping,Unavailable
1,5,8,Sunny,0,1,17.6,220,Zone_A_Downtown,Available
20,4,10,Cloudy,0,0,10.0,110,Zone_D_Residential,Available
11,4,7,Heavy Rain,1,0,15.1,294,Zone_B_University,Available
5,1,10,Sunny,0,0,1.7,237,Zone_D_Residential,Available
22,4,2,Sunny,0,0,8.1,246,Zone_C_Shopping,Available
3,0,4,Sunny,0,0,15.0,214,Zone_A_Downtown,Available
22,5,11,Heavy Rain,1,0,-0.1,53,Zone_D_Residential,Available
10,1,6,Overcast,0,1,16.0,214,Zone_B_University,Unavailable
23,3,3,Sunny,0,0,8.0,173,Zone_C_Shopping,Available
16,5,3,Light Rain,1,0,10.4,181,Zone_A_Downtown,Available
5,1,6,Sunny,0,0,21.0,238,Zone_C_Shopping,Available
23,2,1,Sunny,0,0,6.2,291,Zone_C_Shopping,Available
4,3,1,Cloudy,0,0,5.4,293,Zone_B_University,Available
19,2,5,Light Rain,1,0,16.1,68,Zone_E_Airport,Unavailable
1,5,1,Heavy Rain,1,0,9.7,178,Zone_E_Airport,Available
5,3,10,Cloudy,0,0,6.1,157,Zone_D_Residential,Available
21,4,8,Light Rain,1,0,12.8,90,Zone_D_Residential,Available
10,1,2,Sunny,0,0,1.9,244,Zone_B_University,Unavailable
15,5,6,Light Rain,1,0,17.0,79,Zone_C_Shopping,Available
15,0,10,Sunny,0,0,7.3,244,Zone_A_Downtown,Available
0,3,10,Light Rain,1,1,1.2,131,Zone_A_Downtown,Available
8,3,5,Sunny,0,0,14.1,254,Zone_E_Airport,Unavailable
5,6,10,Sunny,0,0,4.6,271,Zone_C_Shopping,Available
15,5,12,Light Rain,1,0,-0.3,35,Zone_B_University,Available
2,5,12,Cloudy,0,0,-0.6,71,Zone_B_University,Available
19,2,4,Cloudy,0,0,17.4,161,Zone_C_Shopping,Unavailable
3,6,1,Heavy Rain,1,0,-1.9,43,Zone_A_Downtown,Available
18,4,3,Cloudy,0,0,10.5,232,Zone_A_Downtown,Unavailable
2,2,12,Sunny,0,0,3.6,48,Zone_A_Downtown,Available
18,6,4,Light Rain,1,0,12.5,68,Zone_C_Shopping,Unavailable
19,2,2,Cloudy,0,0,5.3,46,Zone_C_Shopping,Unavailable
6,4,12,Sunny,0,1,1.9,44,Zone_A_Downtown,Available
19,6,2,Light Rain,1,0,7.9,43,Zone_D_Residential,Available
8,6,2,Heavy Rain,1,0,10.6,285,Zone_A_Downtown,Unavailable
0,0,11,Cloudy,0,0,-0.8,93,Zone_C_Shopping,Available
7,2,1,Overcast,0,0,0.3,249,Zone_E_Airport,Available
6,2,10,Light Rain,1,1,3.4,160,Zone_C_Shopping,Available
17,3,2,Cloudy,0,0,6.0,180,Zone_E_Airport,Unavailable
7,4,6,Cloudy,0,0,16.8,100,Zone_E_Airport,Available
0,1,3,Heavy Rain,1,1,12.0,180,Zone_C_Shopping,Available
10,0,10,Cloudy,0,0,4.0,69,Zone_D_Residential,Available
17,6,5,Sunny,0,0,14.3,267,Zone_E_Airport,Unavailable
22,6,1,Cloudy,0,0,0.8,67,Zone_B_University,Available
9,6,8,Cloudy,0,0,14.3,156,Zone_B_University,Unavailable
2,0,4,Sunny,0,0,16.9,61,Zone_E_Airport,Available
6,6,9,Sunny,0,0,9.9,109,Zone_D_Residential,Available
15,6,4,Light Rain,1,0,12.3,225,Zone_A_Downtown,Available
15,4,2,Light Rain,1,0,2.9,154,Zone_B_University,Available
19,5,3,Sunny,0,0,14.4,277,Zone_D_Residential,Available
16,5,5,Cloudy,0,0,11.6,156,Zone_C_Shopping,Available
1,3,12,Light Rain,1,0,1.4,156,Zone_C_Shopping,Available
0,3,10,Sunny,0,0,8.2,193,Zone_D_Residential,Available
15,6,6,Cloudy,0,0,17.4,257,Zone_C_Shopping,Available
11,4,7,Light Rain,1,1,15.2,156,Zone_C_Shopping,Available
4,6,4,Cloudy,0,1,15.6,114,Zone_D_Residential,Available
4,3,7,Sunny,0,0,13.6,122,Zone_D_Residential,Available
22,0,10,Light Rain,1,0,0.8,210,Zone_C_Shopping,Available
8,0,3,Sunny,0,0,11.1,286,Zone_B_University,Unavailable
8,1,7,Sunny,0,0,13.9,257,Zone_B_University,Unavailable
2,5,4,Cloudy,0,0,14.4,238,Zone_E_Airport,Available
18,4,8,Sunny,0,0,13.6,126,Zone_A_Downtown,Unavailable
15,2,9,Heavy Rain,1,1,10.8,172,Zone_B_University,Available
15,5,7,Heavy Rain,1,0,16.2,162,Zone_C_Shopping,Available
2,2,8,Cloudy,0,0,15.7,200,Zone_D_Residential,Available
19,1,8,Sunny,0,0,11.9,43,Zone_A_Downtown,Unavailable
23,1,2,Light Rain,1,0,8.3,249,Zone_B_University,Available
21,6,9,Sunny,0,0,6.3,41,Zone_A_Downtown,Available
23,3,6,Sunny,0,0,21.5,265,Zone_D_Residential,Available
0,1,11,Sunny,0,0,9.2,35,Zone_A_Downtown,Available
23,1,4,Cloudy,0,0,14.3,106,Zone_B_University,Available
19,2,5,Overcast,0,0,21.6,186,Zone_B_University,Unavailable
10,3,10,Sunny,0,0,11.5,128,Zone_E_Airport,Unavailable
16,1,5,Heavy Rain,1,0,16.0,112,Zone_B_University,Available
7,5,7,Light Rain,1,0,17.1,269,Zone_A_Downtown,Available
3,1,9,Sunny,0,0,7.6,36,Zone_C_Shopping,Available
5,3,7,Cloudy,0,0,14.7,56,Zone_E_Airport,Available
7,6,9,Sunny,0,0,10.7,135,Zone_C_Shopping,Available
19,4,4,Overcast,0,0,9.1,225,Zone_E_Airport,Unavailable
2,3,10,Cloudy,0,0,8.5,204,Zone_D_Residential,Available
15,2,10,Sunny,0,0,6.5,150,Zone_A_Downtown,Available
2,4,4,Overcast,0,0,16.0,298,Zone_C_Shopping,Available
17,5,6,Sunny,0,0,17.5,67,Zone_B_University,Unavailable
13,0,8,Light Rain,1,0,16.0,143,Zone_C_Shopping,Unavailable
17,3,9,Sunny,0,0,10.7,93,Zone_B_University,Unavailable
1,6,1,Cloudy,0,0,4.6,237,Zone_B_University,Available
21,2,1,Cloudy,0,0,5.8,223,Zone_E_Airport,Available
2,5,8,Cloudy,0,0,10.2,227,Zone_A_Downtown,Available
15,4,11,Light Rain,1,0,1.0,38,Zone_E_Airport,Available
8,5,7,Overcast,0,0,23.9,204,Zone_A_Downtown,Unavailable
3,3,9,Light Rain,1,0,10.6,198,Zone_A_Downtown,Available
0,1,11,Sunny,0,0,-2.1,228,Zone_E_Airport,Available
3,6,3,Heavy Rain,1,0,4.9,107,Zone_C_Shopping,Available
0,3,10,Cloudy,0,0,5.8,122,Zone_D_Residential,Available
13,0,12,Sunny,0,0,0.4,218,Zone_A_Downtown,Available
20,3,5,Cloudy,0,0,14.5,290,Zone_C_Shopping,Available
15,4,3,Overcast,0,0,15.4,48,Zone_D_Residential,Available
19,4,5,Overcast,0,0,15.8,285,Zone_C_Shopping,Unavailable
23,3,10,Sunny,0,0,8.5,259,Zone_C_Shopping,Available
7,4,1,Light Rain,1,0,3.8,141,Zone_E_Airport,Available
6,1,11,Sunny,0,0,2.2,274,Zone_C_Shopping,Available
2,5,4,Overcast,0,0,10.6,156,Zone_E_Airport,Available
16,3,6,Overcast,0,0,20.3,207,Zone_D_Residential,Available
0,6,2,Overcast,0,0,-1.0,64,Zone_D_Residential,Available
15,1,7,Cloudy,0,0,19.5,253,Zone_A_Downtown,Available
11,5,8,Sunny,0,0,14.5,249,Zone_B_University,Available
18,6,1,Sunny,0,0,4.9,64,Zone_E_Airport,Unavailable
21,6,4,Light Rain,1,0,14.0,107,Zone_A_Downtown,Available
22,6,11,Sunny,0,0,-0.6,262,Zone_A_Downtown,Available
21,5,4,Overcast,0,1,15.2,256,Zone_B_University,Available
13,1,5,Sunny,0,0,19.5,111,Zone_A_Downtown,Available
5,6,12,Overcast,0,0,0.6,114,Zone_E_Airport,Available
5,6,12,Overcast,0,0,4.0,241,Zone_E_Airport,Available
12,2,4,Overcast,0,0,14.9,169,Zone_C_Shopping,Available
18,3,9,Cloudy,0,0,11.4,44,Zone_A_Downtown,Available
21,5,7,Sunny,0,0,14.3,174,Zone_D_Residential,Available
7,5,2,Sunny,0,0,9.8,225,Zone_C_Shopping,Available
1,4,1,Cloudy,0,0,4.0,292,Zone_E_Airport,Available
20,5,9,Sunny,0,0,12.5,227,Zone_C_Shopping,Available
0,1,1,Sunny,0,0,1.9,83,Zone_B_University,Available
14,5,6,Cloudy,0,0,20.9,163,Zone_C_Shopping,Available
0,2,2,Heavy Rain,1,0,4.7,270,Zone_E_Airport,Available
4,3,4,Light Rain,1,0,11.3,70,Zone_C_Shopping,Unavailable
15,3,6,Sunny,0,0,23.3,244,Zone_C_Shopping,Available
18,5,5,Overcast,0,0,9.8,173,Zone_A_Downtown,Available
3,6,11,Cloudy,0,0,12.0,109,Zone_D_Residential,Available
2,0,6,Cloudy,0,0,20.1,253,Zone_D_Residential,Available
16,0,3,Heavy Rain,1,0,9.1,185,Zone_B_University,Available
16,6,5,Cloudy,0,0,17.9,230,Zone_C_Shopping,Available
11,6,2,Light Rain,1,0,8.1,260,Zone_B_University,Available
13,6,7,Cloudy,0,0,15.9,160,Zone_B_University,Available
20,1,3,Light Rain,1,0,16.1,299,Zone_A_Downtown,Unavailable
5,0,1,Light Rain,1,0,7.5,138,Zone_B_University,Unavailable
2,6,8,Heavy Rain,1,0,22.2,203,Zone_C_Shopping,Available
8,1,8,Overcast,0,0,10.3,282,Zone_A_Downtown,Unavailable
4,4,3,Heavy Rain,1,0,10.6,107,Zone_B_University,Available
23,1,7,Sunny,0,1,12.8,203,Zone_E_Airport,Available
16,0,9,Heavy Rain,1,1,6.7,85,Zone_C_Shopping,Unavailable
13,5,8,Cloudy,0,0,13.0,158,Zone_C_Shopping,Available
20,4,3,Overcast,0,1,9.1,142,Zone_B_University,Available
2,0,2,Heavy Rain,1,0,7.1,26,Zone_C_Shopping,Available
0,1,10,Heavy Rain,1,0,5.7,227,Zone_A_Downtown,Unavailable
19,2,7,Heavy Rain,1,0,19.3,74,Zone_D_Residential,Unavailable
20,3,7,Sunny,0,0,17.9,298,Zone_A_Downtown,Available
22,0,9,Heavy Rain,1,0,14.9,109,Zone_C_Shopping,Available
0,6,5,Light Rain,1,0,19.4,86,Zone_B_University,Available
2,1,4,Cloudy,0,0,10.5,124,Zone_D_Residential,Available
17,6,8,Light Rain,1,0,13.6,296,Zone_C_Shopping,Unavailable
9,6,4,Cloudy,0,0,13.8,126,Zone_C_Shopping,Unavailable
21,6,4,Cloudy,0,0,15.3,173,Zone_A_Downtown,Available
2,6,12,Sunny,0,0,5.2,225,Zone_C_Shopping,Available
7,6,12,Sunny,0,0,2.8,265,Zone_E_Airport,Available
13,4,2,Cloudy,0,1,7.7,127,Zone_D_Residential,Available
23,0,1,Sunny,0,0,-0.3,19,Zone_A_Downtown,Available
17,0,4,Overcast,0,0,12.6,155,Zone_B_University,Unavailable
14,3,7,Cloudy,0,0,11.2,257,Zone_E_Airport,Available
21,1,12,Sunny,0,0,3.3,133,Zone_C_Shopping,Available
22,2,9,Cloudy,0,0,12.5,142,Zone_C_Shopping,Available
1,4,9,Cloudy,0,0,6.0,98,Zone_E_Airport,Available
9,1,12,Sunny,0,0,2.5,258,Zone_E_Airport,Unavailable
1,4,10,Light Rain,1,0,5.7,127,Zone_C_Shopping,Available
16,0,1,Light Rain,1,0,8.1,178,Zone_B_University,Unavailable
7,6,5,Sunny,0,0,14.2,129,Zone_B_University,Available
0,3,7,Sunny,0,0,19.7,118,Zone_D_Residential,Available
8,3,7,Cloudy,0,0,20.4,194,Zone_B_University,Unavailable
10,5,10,Cloudy,0,0,5.4,246,Zone_A_Downtown,Unavailable
21,2,6,Light Rain,1,0,18.9,172,Zone_B_University,Available
15,3,11,Sunny,0,0,6.3,110,Zone_A_Downtown,Available
6,6,10,Sunny,0,0,2.7,245,Zone_C_Shopping,Available
9,0,4,Cloudy,0,0,12.7,292,Zone_C_Shopping,Unavailable
22,2,3,Heavy Rain,1,0,10.6,278,Zone_C_Shopping,Available
2,1,12,Cloudy,0,0,8.2,51,Zone_B_University,Available
17,6,9,Sunny,0,0,8.8,113,Zone_E_Airport,Available
23,6,12,Sunny,0,0,1.2,243,Zone_A_Downtown,Available
12,3,10,Cloudy,0,0,10.6,203,Zone_D_Residential,Available
6,2,4,Light Rain,1,1,16.0,100,Zone_E_Airport,Available
