Hour,Day_of_Week,Day_Name,Month,Parking_Zone_ID,Weather_Condition,Temperature_C,Precipitation,Special_Event,Parking_Duration_Min,Occupancy_Rate,Occupancy_Status,Available_Binary
14,4,Friday,11,Zone_C_Shopping,Overcast,4.7,0,0,75,0.4573,Moderate,Available
18,6,Sunday,3,Zone_B_University,Heavy Rain,9.1,1,0,172,0.8188,Busy,Unavailable
11,6,Sunday,3,Zone_A_Downtown,Sunny,11.9,0,1,188,0.533825977,Empty,Available
22,3,Thursday,5,Zone_A_Downtown,Cloudy,22.1,0,0,288,0.1882,Empty,Available
19,6,Sunday,11,Zone_A_Downtown,Sunny,5.6,0,0,258,0.6478,Moderate,Unavailable
2,6,Sunday,6,Zone_A_Downtown,Cloudy,17.5,0,0,187,0.1596,Empty,Available
4,5,Saturday,2,Zone_C_Shopping,Sunny,2.7,0,0,73,0.1132,Empty,Available
18,3,Thursday,3,Zone_E_Airport,Light Rain,8.8,1,0,124,0.9646,Full,Unavailable
6,1,Tuesday,6,Zone_B_University,Light Rain,17.5,1,0,229,0.1732,Empty,Available
20,4,Friday,3,Zone_B_University,Sunny,6,0,0,79,0.4079,Moderate,Available
8,3,Thursday,5,Zone_A_Downtown,Sunny,20.2,0,0,266,0.7916,Busy,Unavailable
6,3,Thursday,9,Zone_B_University,Sunny,11.7,0,0,162,0.3059,Moderate,Available
17,0,Monday,12,Zone_A_Downtown,Sunny,-1.1,0,0,242,0.8604,Busy,Unavailable
3,3,Thursday,3,Zone_E_Airport,Cloudy,4.7,0,0,222,0.4239,Moderate,Available
13,0,Monday,12,Zone_C_Shopping,Sunny,4.2,0,0,211,0.123,Empty,Available
17,4,Friday,11,Zone_E_Airport,Light Rain,-1.9,1,0,257,0.7195,Busy,Unavailable
8,6,Sunday,6,Zone_E_Airport,Sunny,18.3,0,0,205,0.4678,Moderate,Available
20,5,Saturday,11,Zone_C_Shopping,Sunny,1.8,0,0,185,0.0002,Empty,Available
1,5,Saturday,5,Zone_C_Shopping,Light Rain,19.3,1,0,256,0.3008,Moderate,Available
19,4,Friday,5,Zone_A_Downtown,Cloudy,19.4,0,0,272,0.6534,Moderate,Unavailable
14,4,Friday,11,Zone_C_Shopping,Light Rain,0.6,1,0,165,0.1477,Empty,Available
6,2,Wednesday,6,Zone_E_Airport,Sunny,20.7,0,0,251,0.159,Empty,Available
11,6,Sunday,6,Zone_A_Downtown,Sunny,17.1,0,0,167,0.0557,Empty,Available
7,4,Friday,1,Zone_E_Airport,Overcast,3.1,0,0,79,0.1044,Empty,Available
14,3,Thursday,11,Zone_B_University,Overcast,3.2,0,0,264,0.3865,Moderate,Available
2,5,Saturday,9,Zone_E_Airport,Sunny,16.7,0,0,204,0.103,Empty,Available
13,1,Tuesday,5,Zone_E_Airport,Cloudy,16.6,0,0,173,0.2449,Empty,Available
16,5,Saturday,1,Zone_C_Shopping,Sunny,-1.9,0,1,46,0.328528774,Empty,Available
3,0,Monday,8,Zone_C_Shopping,Sunny,11.9,0,0,74,0.2751,Empty,Available
17,5,Saturday,7,Zone_C_Shopping,Cloudy,19.1,0,0,193,0.488,Moderate,Available
7,2,Wednesday,7,Zone_D_Residential,Light Rain,16.1,1,1,250,0.317224193,Empty,Available
3,6,Sunday,5,Zone_E_Airport,Light Rain,17,1,0,201,0,Empty,Available
1,4,Friday,1,Zone_D_Residential,Overcast,1.8,0,0,219,0,Empty,Available
5,6,Sunday,9,Zone_C_Shopping,Light Rain,1.6,1,0,129,0,Empty,Available
21,4,Friday,11,Zone_C_Shopping,Sunny,0.7,0,1,268,0.596746226,Moderate,Available
9,5,Saturday,9,Zone_D_Residential,Sunny,9.8,0,0,82,0.2454,Empty,Available
3,1,Tuesday,8,Zone_C_Shopping,Sunny,8.7,0,0,237,0.2529,Empty,Available
21,1,Tuesday,5,Zone_D_Residential,Light Rain,13.4,1,0,186,0.2003,Empty,Available
17,2,Wednesday,3,Zone_C_Shopping,Heavy Rain,9,1,0,224,0.9079,Full,Unavailable
11,0,Monday,8,Zone_A_Downtown,Sunny,13,0,0,141,0.4875,Moderate,Available
1,5,Saturday,1,Zone_B_University,Sunny,4.3,0,0,172,0.3781,Moderate,Available
9,4,Friday,3,Zone_B_University,Overcast,9.2,0,0,102,0.9848,Full,Unavailable
3,5,Saturday,12,Zone_A_Downtown,Overcast,3.1,0,0,68,0.145,Empty,Available
13,2,Wednesday,11,Zone_A_Downtown,Cloudy,1,0,0,62,0.4943,Moderate,Available
15,3,Thursday,7,Zone_C_Shopping,Cloudy,17.6,0,0,40,0.3261,Moderate,Available
14,3,Thursday,4,Zone_A_Downtown,Cloudy,18.4,0,1,102,0.507645799,Empty,Available
7,2,Wednesday,7,Zone_B_University,Cloudy,17.8,0,0,121,0.2789,Empty,Available
13,4,Friday,12,Zone_D_Residential,Heavy Rain,1.3,1,0,251,0.2193,Empty,Available
22,6,Sunday,11,Zone_E_Airport,Sunny,0.2,0,0,218,0.2438,Empty,Available
7,2,Wednesday,5,Zone_D_Residential,Cloudy,17.2,0,0,83,0.0035,Empty,Available
20,4,Friday,6,Zone_E_Airport,Sunny,17.3,0,0,94,0.0957,Empty,Available
15,1,Tuesday,7,Zone_C_Shopping,Light Rain,18.6,1,0,171,0.4515,Moderate,Available
12,2,Wednesday,10,Zone_B_University,Cloudy,0.5,0,0,140,0.389,Moderate,Available
17,4,Friday,12,Zone_C_Shopping,Sunny,1.4,0,0,39,0.782,Busy,Unavailable
14,2,Wednesday,7,Zone_D_Residential,Sunny,18.2,0,1,41,0.596319324,Moderate,Available
20,2,Wednesday,7,Zone_B_University,Sunny,17.3,0,0,36,0.2306,Empty,Available
23,6,Sunday,7,Zone_A_Downtown,Sunny,15.9,0,0,242,0.1137,Empty,Available
12,6,Sunday,11,Zone_D_Residential,Overcast,2,0,0,218,0,Empty,Available
8,4,Friday,7,Zone_A_Downtown,Cloudy,13.6,0,0,279,0.8721,Busy,Unavailable
14,4,Friday,3,Zone_C_Shopping,Overcast,11.1,0,0,68,0.1056,Empty,Available
12,0,Monday,12,Zone_A_Downtown,Sunny,3.3,0,0,113,0.1542,Empty,Available
0,2,Wednesday,3,Zone_C_Shopping,Cloudy,5.8,0,0,97,0.1867,Empty,Available
6,3,Thursday,7,Zone_C_Shopping,Light Rain,19.2,1,0,234,0.3183,Moderate,Available
8,2,Wednesday,2,Zone_A_Downtown,Heavy Rain,4,1,0,22,0.6227,Moderate,Unavailable
23,2,Wednesday,2,Zone_B_University,Sunny,4.9,0,0,126,0.46,Moderate,Available
0,4,Friday,3,Zone_C_Shopping,Cloudy,15.6,0,0,267,0.3759,Moderate,Available
11,2,Wednesday,4,Zone_D_Residential,Heavy Rain,18.8,1,0,238,0.3159,Moderate,Available
7,5,Saturday,6,Zone_E_Airport,Light Rain,13.7,1,0,227,0.1482,Empty,Available
23,2,Wednesday,8,Zone_C_Shopping,Heavy Rain,10.2,1,0,152,0.3662,Moderate,Available
10,5,Saturday,10,Zone_D_Residential,Sunny,2.8,0,0,158,0.3717,Moderate,Available
18,6,Sunday,10,Zone_B_University,Cloudy,10.8,0,0,25,0.7026,Busy,Unavailable
16,3,Thursday,7,Zone_B_University,Heavy Rain,15.1,1,1,33,0.515967276,Moderate,Available
7,4,Friday,4,Zone_A_Downtown,Heavy Rain,9.6,1,0,66,0.4963,Moderate,Available
2,2,Wednesday,2,Zone_C_Shopping,Sunny,9.7,0,0,219,0.3096,Moderate,Available
2,5,Saturday,2,Zone_B_University,Heavy Rain,7.8,1,0,157,0,Empty,Available
0,5,Saturday,4,Zone_A_Downtown,Light Rain,20.8,1,0,56,0.016,Empty,Available
4,6,Sunday,6,Zone_C_Shopping,Cloudy,19.8,0,0,110,0,Empty,Available
9,5,Saturday,3,Zone_D_Residential,Overcast,9.9,0,0,180,0.1502,Empty,Available
6,1,Tuesday,6,Zone_B_University,Sunny,18.8,0,0,100,0.2784,Empty,Available
8,0,Monday,5,Zone_A_Downtown,Sunny,15.6,0,0,98,0.6233,Moderate,Unavailable
6,3,Thursday,5,Zone_B_University,Light Rain,20.8,1,0,213,0.2306,Empty,Available
8,6,Sunday,2,Zone_B_University,Sunny,10.1,0,0,164,0.5956,Moderate,Unavailable
7,6,Sunday,8,Zone_C_Shopping,Light Rain,9.3,1,1,64,0.600429036,Moderate,Available
11,2,Wednesday,5,Zone_B_University,Heavy Rain,19.8,1,0,138,0.2567,Empty,Available
1,1,Tuesday,11,Zone_C_Shopping,Overcast,-0.1,0,0,33,0.2002,Empty,Available
0,2,Wednesday,2,Zone_E_Airport,Sunny,13.2,0,0,86,0.2648,Empty,Available
15,2,Wednesday,7,Zone_A_Downtown,Overcast,21.5,0,0,160,0.4063,Moderate,Available
22,4,Friday,9,Zone_E_Airport,Cloudy,6.6,0,0,280,0.3201,Moderate,Available
22,4,Friday,9,Zone_B_University,Overcast,10.7,0,0,64,0.3385,Moderate,Available
23,4,Friday,1,Zone_B_University,Cloudy,6.1,0,0,63,0.4249,Moderate,Available
4,1,Tuesday,7,Zone_B_University,Cloudy,15.1,0,0,113,0.4684,Moderate,Available
2,2,Wednesday,9,Zone_A_Downtown,Cloudy,5.9,0,0,37,0.5496,Moderate,Unavailable
11,0,Monday,6,Zone_A_Downtown,Cloudy,18.3,0,0,90,0.3362,Moderate,Available
7,3,Thursday,1,Zone_B_University,Overcast,2.6,0,0,127,0.528,Moderate,Unavailable
21,4,Friday,2,Zone_D_Residential,Light Rain,3.3,1,0,297,0.2789,Empty,Available
2,4,Friday,4,Zone_E_Airport,Sunny,17.7,0,0,20,0.3429,Moderate,Available
0,6,Sunday,4,Zone_C_Shopping,Heavy Rain,10.1,1,0,294,0.2651,Empty,Available
2,2,Wednesday,2,Zone_A_Downtown,Light Rain,5.7,1,0,100,0.5839,Moderate,Unavailable
4,2,Wednesday,8,Zone_C_Shopping,Light Rain,14.5,1,1,84,0.76706452,Moderate,Unavailable
14,1,Tuesday,2,Zone_C_Shopping,Sunny,6.9,0,0,190,0.1714,Empty,Available
13,1,Tuesday,3,Zone_D_Residential,Light Rain,13.4,1,0,245,0.2176,Empty,Available
2,4,Friday,4,Zone_D_Residential,Cloudy,13.3,0,0,101,0.3266,Moderate,Available
0,2,Wednesday,9,Zone_E_Airport,Overcast,2.2,0,0,122,0.2328,Empty,Available
4,0,Monday,10,Zone_B_University,Heavy Rain,4.8,1,0,221,0.2692,Empty,Available
22,3,Thursday,1,Zone_C_Shopping,Sunny,5.2,0,0,236,0.1411,Empty,Available
13,2,Wednesday,8,Zone_B_University,Light Rain,13.6,1,0,239,0.4163,Moderate,Available
6,6,Sunday,12,Zone_E_Airport,Sunny,1.6,0,0,196,0.1702,Empty,Available
8,2,Wednesday,5,Zone_A_Downtown,Cloudy,18.5,0,0,161,0.67,Moderate,Unavailable
14,5,Saturday,7,Zone_A_Downtown,Sunny,18.9,0,0,215,0.2711,Empty,Available
14,1,Tuesday,8,Zone_A_Downtown,Light Rain,8.6,1,0,85,0.5505,Moderate,Unavailable
9,6,Sunday,5,Zone_D_Residential,Overcast,16.9,0,0,38,0.2057,Empty,Available
12,3,Thursday,8,Zone_B_University,Light Rain,13.4,1,1,152,0.459101216,Empty,Available
18,4,Friday,10,Zone_B_University,Sunny,6.2,0,0,163,0.8027,Busy,Unavailable
6,6,Sunday,11,Zone_E_Airport,Cloudy,-2.8,0,0,78,0.2689,Empty,Available
16,2,Wednesday,8,Zone_E_Airport,Sunny,18,0,0,155,0.1659,Empty,Available
19,4,Friday,9,Zone_B_University,Sunny,10,0,0,256,0.7478,Busy,Unavailable
3,2,Wednesday,2,Zone_A_Downtown,Cloudy,7.3,0,0,261,0.3864,Moderate,Available
4,4,Friday,3,Zone_D_Residential,Cloudy,15.3,0,0,85,0.0457,Empty,Available
22,3,Thursday,1,Zone_E_Airport,Overcast,4.4,0,1,262,0.63350899,Moderate,Available
6,1,Tuesday,4,Zone_C_Shopping,Heavy Rain,9.4,1,0,119,0.347,Moderate,Available
12,3,Thursday,5,Zone_C_Shopping,Cloudy,16.7,0,0,66,0.3801,Moderate,Available
14,5,Saturday,11,Zone_B_University,Sunny,5.1,0,0,272,0.1461,Empty,Available
10,0,Monday,1,Zone_D_Residential,Sunny,3.2,0,0,133,0.7916,Busy,Unavailable
3,1,Tuesday,8,Zone_C_Shopping,Sunny,19.1,0,0,18,0.2057,Empty,Available
12,3,Thursday,2,Zone_C_Shopping,Overcast,3.4,0,0,66,0.2459,Empty,Available
6,5,Saturday,1,Zone_A_Downtown,Sunny,6.8,0,0,21,0.1192,Empty,Available
18,0,Monday,2,Zone_E_Airport,Sunny,8.5,0,0,15,0.6262,Moderate,Unavailable
21,5,Saturday,5,Zone_C_Shopping,Cloudy,17.2,0,0,200,0.2434,Empty,Available
1,2,Wednesday,9,Zone_A_Downtown,Sunny,11,0,0,204,0.1954,Empty,Available
9,2,Wednesday,9,Zone_C_Shopping,Overcast,7.1,0,0,128,0.8636,Busy,Unavailable
12,4,Friday,2,Zone_C_Shopping,Sunny,5.1,0,0,208,0.4257,Moderate,Available
20,1,Tuesday,2,Zone_C_Shopping,Light Rain,7.7,1,0,69,0.4012,Moderate,Available
5,2,Wednesday,3,Zone_D_Residential,Sunny,9.6,0,0,131,0.0808,Empty,Available
11,6,Sunday,7,Zone_C_Shopping,Heavy Rain,17.1,1,0,283,0.3066,Moderate,Available
11,5,Saturday,11,Zone_E_Airport,Light Rain,6,1,0,298,0.208,Empty,Available
19,1,Tuesday,3,Zone_A_Downtown,Cloudy,4.3,0,0,284,0.5567,Moderate,Unavailable
10,6,Sunday,1,Zone_A_Downtown,Heavy Rain,4.2,1,0,286,0.6078,Moderate,Unavailable
22,2,Wednesday,6,Zone_A_Downtown,Sunny,23.3,0,0,112,0.3868,Moderate,Available
6,4,Friday,3,Zone_C_Shopping,Heavy Rain,8.9,1,0,183,0.4128,Moderate,Available
0,3,Thursday,1,Zone_C_Shopping,Sunny,-0.7,0,1,171,0.56269543,Moderate,Available
0,4,Friday,4,Zone_E_Airport,Sunny,12.8,0,0,289,0.1888,Empty,Available
19,6,Sunday,1,Zone_D_Residential,Cloudy,-1.5,0,1,162,0.704360227,Moderate,Available
12,0,Monday,1,Zone_C_Shopping,Light Rain,3.7,1,0,291,0.2855,Empty,Available
8,2,Wednesday,12,Zone_E_Airport,Sunny,1.8,0,0,162,0.5234,Moderate,Unavailable
2,6,Sunday,2,Zone_B_University,Heavy Rain,7,1,0,105,0.406,Moderate,Available
6,0,Monday,10,Zone_D_Residential,Light Rain,5.6,1,0,58,0.1491,Empty,Available
5,0,Monday,8,Zone_B_University,Cloudy,14.6,0,0,252,0.2642,Empty,Available
7,5,Saturday,2,Zone_C_Shopping,Cloudy,7.4,0,1,128,0.519512715,Empty,Available
8,1,Tuesday,11,Zone_D_Residential,Sunny,-0.5,0,0,103,0.4782,Moderate,Available
4,5,Saturday,2,Zone_C_Shopping,Sunny,7,0,0,16,0.1911,Empty,Available
0,2,Wednesday,11,Zone_A_Downtown,Heavy Rain,7.4,1,0,185,0.493,Moderate,Available
18,0,Monday,11,Zone_B_University,Heavy Rain,0.2,1,0,102,0.7207,Busy,Unavailable
9,6,Sunday,10,Zone_C_Shopping,Heavy Rain,6.9,1,0,239,0.7393,Busy,Unavailable
11,3,Thursday,10,Zone_D_Residential,Light Rain,9.9,1,0,161,0.3029,Moderate,Available
23,0,Monday,8,Zone_B_University,Overcast,10.5,0,0,104,0.3244,Moderate,Available
14,6,Sunday,12,Zone_E_Airport,Cloudy,4.4,0,1,183,0.169668361,Empty,Available
21,3,Thursday,6,Zone_B_University,Light Rain,17.3,1,0,105,0.5448,Moderate,Unavailable
23,5,Saturday,12,Zone_C_Shopping,Light Rain,5,1,0,28,0.2045,Empty,Available
8,5,Saturday,11,Zone_D_Residential,Sunny,0.6,0,0,162,0.4359,Moderate,Available
19,1,Tuesday,4,Zone_C_Shopping,Sunny,14,0,0,71,0.8711,Busy,Unavailable
16,6,Sunday,3,Zone_E_Airport,Heavy Rain,5.4,1,0,16,0.1804,Empty,Available
16,0,Monday,1,Zone_C_Shopping,Sunny,4.4,0,0,80,0.3255,Moderate,Available
19,4,Friday,11,Zone_C_Shopping,Cloudy,4.4,0,0,101,0.9484,Full,Unavailable
11,5,Saturday,3,Zone_A_Downtown,Cloudy,11.6,0,0,259,0.1822,Empty,Available
6,5,Saturday,12,Zone_B_University,Light Rain,3.5,1,0,251,0.277,Empty,Available
1,1,Tuesday,9,Zone_B_University,Heavy Rain,9.7,1,0,103,0.2796,Empty,Available
2,3,Thursday,5,Zone_D_Residential,Light Rain,12.5,1,1,66,0.448714102,Empty,Available
16,1,Tuesday,6,Zone_A_Downtown,Sunny,21,0,0,217,0.3542,Moderate,Available
4,0,Monday,5,Zone_A_Downtown,Cloudy,16.8,0,0,223,0.216,Empty,Available
16,6,Sunday,1,Zone_A_Downtown,Cloudy,4.3,0,0,157,0.0985,Empty,Available
23,2,Wednesday,10,Zone_A_Downtown,Light Rain,5.4,1,0,129,0.3585,Moderate,Available
16,2,Wednesday,1,Zone_B_University,Sunny,8.9,0,0,76,0.4143,Moderate,Available
16,6,Sunday,4,Zone_E_Airport,Sunny,12.3,0,0,48,0.1659,Empty,Available
1,3,Thursday,3,Zone_D_Residential,Light Rain,8.2,1,0,135,0.3483,Moderate,Available
1,5,Saturday,11,Zone_D_Residential,Overcast,-1.6,0,0,118,0,Empty,Available
21,3,Thursday,8,Zone_D_Residential,Light Rain,14.3,1,0,58,0.3471,Moderate,Available
22,5,Saturday,12,Zone_B_University,Overcast,7.6,0,0,205,0,Empty,Available
4,5,Saturday,12,Zone_E_Airport,Overcast,2.4,0,0,261,0.0715,Empty,Available
0,2,Wednesday,7,Zone_A_Downtown,Sunny,17.6,0,0,32,0.1792,Empty,Available
0,3,Thursday,11,Zone_B_University,Heavy Rain,6,1,0,122,0.5448,Moderate,Unavailable
18,1,Tuesday,7,Zone_C_Shopping,Light Rain,17.4,1,0,40,0.8579,Busy,Unavailable
1,5,Saturday,8,Zone_A_Downtown,Sunny,17.6,0,1,220,0.40026795,Empty,Available
20,4,Friday,10,Zone_D_Residential,Cloudy,10,0,0,110,0.147,Empty,Available
11,4,Friday,7,Zone_B_University,Heavy Rain,15.1,1,0,294,0.4204,Moderate,Available
5,1,Tuesday,10,Zone_D_Residential,Sunny,1.7,0,0,237,0.2885,Empty,Available
22,4,Friday,2,Zone_C_Shopping,Sunny,8.1,0,0,246,0.317,Moderate,Available
3,0,Monday,4,Zone_A_Downtown,Sunny,15,0,0,214,0.3226,Moderate,Available
22,5,Saturday,11,Zone_D_Residential,Heavy Rain,-0.1,1,0,53,0.2612,Empty,Available
10,1,Tuesday,6,Zone_B_University,Overcast,16,0,1,214,1,Full,Unavailable
23,3,Thursday,3,Zone_C_Shopping,Sunny,8,0,0,173,0.1154,Empty,Available
16,5,Saturday,3,Zone_A_Downtown,Light Rain,10.4,1,0,181,0.3304,Moderate,Available
5,1,Tuesday,6,Zone_C_Shopping,Sunny,21,0,0,238,0.2487,Empty,Available
23,2,Wednesday,1,Zone_C_Shopping,Sunny,6.2,0,0,291,0.3701,Moderate,Available
4,3,Thursday,1,Zone_B_University,Cloudy,5.4,0,0,293,0.3848,Moderate,Available
19,2,Wednesday,5,Zone_E_Airport,Light Rain,16.1,1,0,68,0.645,Moderate,Unavailable
1,5,Saturday,1,Zone_E_Airport,Heavy Rain,9.7,1,0,178,0.3111,Moderate,Available
5,3,Thursday,10,Zone_D_Residential,Cloudy,6.1,0,0,157,0.0928,Empty,Available
21,4,Friday,8,Zone_D_Residential,Light Rain,12.8,1,0,90,0.2681,Empty,Available
10,1,Tuesday,2,Zone_B_University,Sunny,1.9,0,0,244,0.9497,Full,Unavailable
15,5,Saturday,6,Zone_C_Shopping,Light Rain,17,1,0,79,0.0035,Empty,Available
15,0,Monday,10,Zone_A_Downtown,Sunny,7.3,0,0,244,0.2702,Empty,Available
0,3,Thursday,10,Zone_A_Downtown,Light Rain,1.2,1,1,131,0.534029367,Empty,Available
8,3,Thursday,5,Zone_E_Airport,Sunny,14.1,0,0,254,0.7354,Busy,Unavailable
5,6,Sunday,10,Zone_C_Shopping,Sunny,4.6,0,0,271,0.171,Empty,Available
15,5,Saturday,12,Zone_B_University,Light Rain,-0.3,1,0,35,0.1287,Empty,Available
2,5,Saturday,12,Zone_B_University,Cloudy,-0.6,0,0,71,0.0226,Empty,Available
19,2,Wednesday,4,Zone_C_Shopping,Cloudy,17.4,0,0,161,0.5931,Moderate,Unavailable
3,6,Sunday,1,Zone_A_Downtown,Heavy Rain,-1.9,1,0,43,0.3556,Moderate,Available
18,4,Friday,3,Zone_A_Downtown,Cloudy,10.5,0,0,232,0.8287,Busy,Unavailable
2,2,Wednesday,12,Zone_A_Downtown,Sunny,3.6,0,0,48,0.3283,Moderate,Available
18,6,Sunday,4,Zone_C_Shopping,Light Rain,12.5,1,0,68,0.5905,Moderate,Unavailable
19,2,Wednesday,2,Zone_C_Shopping,Cloudy,5.3,0,0,46,0.7985,Busy,Unavailable
6,4,Friday,12,Zone_A_Downtown,Sunny,1.9,0,1,44,0.450410123,Empty,Available
19,6,Sunday,2,Zone_D_Residential,Light Rain,7.9,1,0,43,0.3374,Moderate,Available
8,6,Sunday,2,Zone_A_Downtown,Heavy Rain,10.6,1,0,285,0.5261,Moderate,Unavailable
0,0,Monday,11,Zone_C_Shopping,Cloudy,-0.8,0,0,93,0.3502,Moderate,Available
7,2,Wednesday,1,Zone_E_Airport,Overcast,0.3,0,0,249,0.1675,Empty,Available
6,2,Wednesday,10,Zone_C_Shopping,Light Rain,3.4,1,1,160,0.495641552,Moderate,Available
17,3,Thursday,2,Zone_E_Airport,Cloudy,6,0,0,180,0.8757,Busy,Unavailable
7,4,Friday,6,Zone_E_Airport,Cloudy,16.8,0,0,100,0.4122,Moderate,Available
0,1,Tuesday,3,Zone_C_Shopping,Heavy Rain,12,1,1,180,0.606397385,Moderate,Available
10,0,Monday,10,Zone_D_Residential,Cloudy,4,0,0,69,0.4398,Moderate,Available
17,6,Sunday,5,Zone_E_Airport,Sunny,14.3,0,0,267,0.6989,Moderate,Unavailable
22,6,Sunday,1,Zone_B_University,Cloudy,0.8,0,0,67,0.0167,Empty,Available
9,6,Sunday,8,Zone_B_University,Cloudy,14.3,0,0,156,0.5391,Moderate,Unavailable
2,0,Monday,4,Zone_E_Airport,Sunny,16.9,0,0,61,0.4485,Moderate,Available
6,6,Sunday,9,Zone_D_Residential,Sunny,9.9,0,0,109,0,Empty,Available
15,6,Sunday,4,Zone_A_Downtown,Light Rain,12.3,1,0,225,0.2684,Empty,Available
15,4,Friday,2,Zone_B_University,Light Rain,2.9,1,0,154,0.3015,Moderate,Available
19,5,Saturday,3,Zone_D_Residential,Sunny,14.4,0,0,277,0.1964,Empty,Available
16,5,Saturday,5,Zone_C_Shopping,Cloudy,11.6,0,0,156,0.0522,Empty,Available
1,3,Thursday,12,Zone_C_Shopping,Light Rain,1.4,1,0,156,0.3002,Moderate,Available
0,3,Thursday,10,Zone_D_Residential,Sunny,8.2,0,0,193,0.0581,Empty,Available
15,6,Sunday,6,Zone_C_Shopping,Cloudy,17.4,0,0,257,0,Empty,Available
11,4,Friday,7,Zone_C_Shopping,Light Rain,15.2,1,1,156,0.539980178,Empty,Available
4,6,Sunday,4,Zone_D_Residential,Cloudy,15.6,0,1,114,0.379209594,Empty,Available
4,3,Thursday,7,Zone_D_Residential,Sunny,13.6,0,0,122,0.3296,Moderate,Available
22,0,Monday,10,Zone_C_Shopping,Light Rain,0.8,1,0,210,0.4133,Moderate,Available
8,0,Monday,3,Zone_B_University,Sunny,11.1,0,0,286,0.8687,Busy,Unavailable
8,1,Tuesday,7,Zone_B_University,Sunny,13.9,0,0,257,0.711,Busy,Unavailable
2,5,Saturday,4,Zone_E_Airport,Cloudy,14.4,0,0,238,0,Empty,Available
18,4,Friday,8,Zone_A_Downtown,Sunny,13.6,0,0,126,0.7883,Busy,Unavailable
15,2,Wednesday,9,Zone_B_University,Heavy Rain,10.8,1,1,172,0.587982719,Moderate,Available
15,5,Saturday,7,Zone_C_Shopping,Heavy Rain,16.2,1,0,162,0.259,Empty,Available
2,2,Wednesday,8,Zone_D_Residential,Cloudy,15.7,0,0,200,0.3257,Moderate,Available
